Source,Phi,SP_percent,Tau0_Pa
Table6,0.4801112059299751,0.9424798800079064,0.32890445
Table6,0.4700476643976436,0.5201011139739182,0.48776808
Table6,0.5000455616316847,0.4561298305978107,1.3844707
Table6,0.4964025970327002,0.6642697087557712,0.60290015
Table6,0.4671715846889839,0.746535935610406,0.30735305
Table6,0.461979880777888,0.8258685793739792,0.28374633
Table6,0.5038590178280256,0.5118146216599944,1.2590843
Table6,0.4643671007829593,0.4664524948458602,0.46854976
Table6,0.465760824829437,0.4411866424782598,0.4731332
Table6,0.4625550241243936,0.846726916708107,0.24052297
Table6,0.4678523006895501,0.823241023528738,0.26200423
Table6,0.4903585772386507,0.6911080504928935,0.57047004
Table6,0.4608700758318284,0.6045749246969483,0.28290942
Table6,0.4648262528725679,0.4928650280001377,0.44555694
Table6,0.4848712316549314,0.7013964380197318,0.51806074
Table6,0.4930890923820976,0.5275457784556483,0.6918485
Table6,0.4801272976526416,0.8968830719413682,0.3409182
Table6,0.4993652811569352,0.5253937029697937,0.91338015
Table6,0.4925932979103699,0.4565247977020598,1.2712244
Table6,0.4787738665675889,0.4483778387658892,0.8898763
Table6,0.4776870290970838,0.8970798472956044,0.28017974
Table6,0.4799809866322038,0.4033319687905861,0.9626177
Table6,0.4954085865702167,0.5090724684142777,0.83813316
Table6,0.4731797952801781,0.9700668896240772,0.23244111
Table6,0.4749377401015903,0.9079282496590882,0.26689
Table6,0.4784641779082478,0.5280981406422979,0.5785701
Table6,0.5013195291876362,0.7684143571973312,0.5092167
Table6,0.5003043117646305,0.7658065585297754,0.46186066
Table6,0.4904005812613634,0.6984264913753898,0.5244512
Table6,0.4710440851049515,0.8402073585497523,0.28407627
