Source,Phi,SP_percent,Tau0_Pa
Table6,0.4886632877307033,0.8484840076524465,0.38559553
Table6,0.5005096549021516,0.6988409075352171,0.5734876
Table6,0.501599742292821,0.599230885235888,0.67994654
Table6,0.4927784016821258,0.6995890158894558,0.5422227
Table6,0.4656518636195922,0.6285118148206581,0.27274275
Table6,0.4700476643976436,0.5201011139739182,0.48776808
Table6,0.4823663985509256,0.8748293781414979,0.3584297
Table6,0.4897238141264716,0.6423412269984756,0.57108545
Table6,0.4710440851049515,0.8402073585497523,0.28407627
Table6,0.4958876572619627,0.987070930277696,0.35529757
Table6,0.4950226092612975,0.5331598790870096,0.73416746
Table6,0.4961050077648362,0.6881729993259487,0.5314263
Table6,0.4771851313853472,0.4941951737832397,0.75153893
Table6,0.4911100018649796,0.8709137613289,0.40658405
Table6,0.4907658691712397,0.5175588409085807,0.76460147
Table6,0.4930890923820976,0.5275457784556483,0.6918485
Table6,0.4609587890483946,0.9782964236464698,0.2145904
Table6,0.4991766003624921,0.5265107392275974,0.8283719
Table6,0.4586462941762953,0.8802779385334503,0.21269076
Table6,0.4715917175782844,0.7456564295686499,0.3377536
Table6,0.4699389160576959,0.9535819953073637,0.234837
Table6,0.5025487105074106,0.7918295668493283,0.52971876
Table6,0.481148984835209,0.8911647830956217,0.2940997
Table6,0.4885505405942016,0.9591827572977492,0.3427808
Table6,0.4803383801872424,0.9659519558228598,0.29948387
Table6,0.4951440071836932,0.8665381391996863,0.41532594
Table6,0.4964854610167373,0.635878874127874,0.56883776
Table6,0.5029598624658096,0.5810893397556174,0.75266284
Table6,0.4587484899286219,0.5290805973995062,0.34977728
Table6,0.4625550241243936,0.846726916708107,0.24052297
