Source,Phi,SP_percent,Tau0_Pa
Table6,0.4754319100944344,0.8697925240249025,0.3066708
Table6,0.4840585585322373,0.9172967710483092,0.3235827
Table6,0.485340662447251,0.6773067810691784,0.55199057
Table6,0.4936648027003434,0.7588885531579759,0.50705576
Table6,0.4621260163514252,0.9477008391645662,0.23646213
Table6,0.4936460247271616,0.7469813758238709,0.51209927
Table6,0.481148984835209,0.8911647830956217,0.2940997
Table6,0.4848356322228102,0.482068764533396,0.9875764
Table6,0.4814933993902169,0.7066848890748076,0.507917
Table6,0.462764976825702,0.4269064262456084,0.39119926
Table6,0.4604263041700607,0.9596045592035952,0.2124226
Table6,0.4915102492294514,0.9578731001632096,0.3774169
Table6,0.4823069283051615,0.4283808684035148,0.8853718
Table6,0.4649030820534397,0.7807647297141518,0.29995257
Table6,0.482606689286419,0.9686842722455526,0.36526665
Table6,0.4636575830505248,0.7462891965844495,0.2583415
Table6,0.4960145059298955,0.6419835994362806,0.58572197
Table6,0.4945205076400439,0.6395149406571937,0.56735533
Table6,0.4679689307544021,0.7521081903675888,0.31191626
Table6,0.4990032680099503,0.6258707441112794,0.6463622
Table6,0.4862190739688323,0.7044982380126763,0.52247024
Table6,0.4889369091321121,0.5426581416690521,0.644573
Table6,0.4868151796522452,0.5369461019115941,0.60530466
Table6,0.4811332749488389,0.7390751763935217,0.42949548
Table6,0.4945809051829573,0.5501300547104873,0.7774805
Table6,0.4615839832799918,0.5426884766300356,0.35837647
Table6,0.4844898811418497,0.768239708887233,0.48376796
Table6,0.4909335253679958,0.5049253187670872,0.78725916
Table6,0.5013195291876362,0.7684143571973312,0.5092167
Table6,0.4895931254283882,0.6066627579840512,0.62348735
