Source,Phi,SP_percent,Tau0_Pa
Table6,0.4879713076209797,0.4974779492822451,0.83174473
Table6,0.4920893030653511,0.8588858508120841,0.44458875
Table6,0.4896737251448229,0.5311502824562911,0.68941694
Table6,0.4599889229282914,0.8436707811644695,0.23028746
Table6,0.4903585772386507,0.6911080504928935,0.57047004
Table6,0.4863530346408072,0.9658261270870528,0.30209062
Table6,0.4613167867648956,0.5774131861409952,0.3450897
Table6,0.4851767809110845,0.9009845114020868,0.37156177
Table6,0.490730737542812,0.5131222931167552,0.812903
Table6,0.4757530990198538,0.6611898964301719,0.48754293
Table6,0.4796399082666785,0.7747836305103808,0.47486332
Table6,0.4982980121918405,0.7082077469929309,0.5333352
Table6,0.4996029284578842,0.5025326715310674,0.97871435
Table6,0.4862190739688323,0.7044982380126763,0.52247024
Table6,0.4811332749488389,0.7390751763935217,0.42949548
Table6,0.4946339809579517,0.7780237425208967,0.44067636
Table6,0.4866741198167205,0.9544330091995517,0.33967865
Table6,0.4603552077303578,0.4950707449569411,0.35713944
Table6,0.4972859239542501,0.982491400305148,0.3567057
Table6,0.4831669321186631,0.4350117647998728,1.0585186
Table6,0.4586611936455516,0.6000854972685385,0.30636436
Table6,0.4839695450560152,0.8980030323672669,0.38362277
Table6,0.4980743702486052,0.9166358831028064,0.3967972
Table6,0.4977828728180141,0.6819151699105255,0.53264034
Table6,0.5027710313790893,0.9566068217343002,0.38618186
Table6,0.4817506499174986,0.914201493605738,0.33411995
Table6,0.5001834806004131,0.7790282349408546,0.48535672
Table6,0.4990143303700474,0.5575428445680779,0.71889263
Table6,0.4587970089648991,0.4193233731481229,0.42851698
Table6,0.4980426698690071,0.6031169624658377,0.649805
